DATASET_COLORSTRIP
SEPARATOR COMMA

# Dataset label
DATASET_LABEL,Subspecies Clusters

# Dataset color (used for legend, not affecting individual colors)
COLOR,#ff0000

# No branch coloring
COLOR_BRANCHES,0

# Data section: Specify the species and subspecies colors for each node
DATA

Bacillus paralicheniformis KJ-16,#546800
'Bacillus pumilus' (GCA_900186955.1),#291600
Bacillus cereus ATCC 14579,#c3ffda
'Bacillus atrophaeus ATCC 9372-1' (GCA_000204705.2),#ffa2f0
Bacillus safensis FO-36b,#004fa9
Bacillus halotolerans ATCC 25096,#a00012
Bacillus methylotrophicus KACC 13105,#ffa67b
Bacillus xiamenensis HYC-10,#b3a0ff
Bacillus mojavensis KCTC 3706,#b8ccff
'Bacillus amyloliquefaciens XH7' (GCA_000221645.1),#00576b
'Bacillus anthracis str. Ames' (GCA_000007845.1),#63000e
'Bacillus velezensis SQR9' (GCA_000685725.1),#ffa67b
Bacillus tequilensis NCTC13306,#422d00
'Bacillus rugosus SPB7',#a854ff
Bacillus luti MCCC 1A00359,#89ff68
'Bacillus pumilus' (GCA_000691485.2),#004125
'Bacillus mojavensis RO-H-1 = KCTC 3706' (GCA_000507105.1),#b8ccff
Bacillus haynesii NRRL B-41327,#c9008f
Marinomonas rhodophyticola KJ51-3,#0088ed
'Bacillus subtilis' (GCA_000772165.1),#ffa67b
'Bacillus subtilis subsp. subtilis str. BAB-1' (GCA_000349795.1),#465000
Bacillus spizizenii TU-B-10,#330300
'Bacillus cereus VD146' (GCA_000399425.1),#005ba0
Bacillus basilensis 403507-21,#63000e
Bacillus nakamurai NRRL B-41091,#002753
'Bacillus amyloliquefaciens' (GCA_001866745.1),#00576b
Streptomyces microflavus JCM 4496,#63000e
'Bacillus cellulasensis NCIM 5461',#220036
Bacillus pumilus NCTC 10337,#291600
'Bacillus atrophaeus subsp. globigii' (GCA_000742675.1),#ffa2f0
Bacillus fungorum 17-SMS-01,#97ff7b
Bacillus albus N35-10-2,#beff9e
